[31/Aug/2022 14:38:51] DEBUG [django.utils.autoreload:381] File /workspace/hello-django/django_todo/settings.py previous mtime: 1661956626.6375659, current mtime: 1661956730.8214726
[31/Aug/2022 14:38:51] DEBUG [django.utils.autoreload:355] /workspace/hello-django/django_todo/settings.py notified as changed. Signal results: [(<function template_changed at 0x7f84c854ea60>, None), (<function translation_file_changed at 0x7f84c7ca6f70>, None)].
[31/Aug/2022 14:38:51] INFO [django.utils.autoreload:250] /workspace/hello-django/django_todo/settings.py changed, reloading.
[31/Aug/2022 14:38:52] INFO [django.utils.autoreload:636] Watching for file changes with StatReloader
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:314] Waiting for apps ready_event.
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:326] Apps ready_event triggered. Sending autoreload_started signal.
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:280] Watching dir /workspace/hello-django/locale with glob **/*.mo.
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/aggregates.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/asgiref/sync.py first seen with mtime 1659554443.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/functions/comparison.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/views/generic/list.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/_collections_abc.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/config/setupcfg.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/messages/__init__.py first seen with mtime 1659554443.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/cache/utils.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/asyncio/protocols.py first seen with mtime 1659553840.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/migrations/state.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/functools.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/lorem_ipsum.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/inspect.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/logging/config.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/module_loading.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/views/decorators/csrf.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/views/generic/base.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/auth/models.py first seen with mtime 1659554443.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/importlib/resources.py first seen with mtime 1659553840.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/ipaddress.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/template/exceptions.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/forms/forms.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/pytz/lazy.py first seen with mtime 1659554442.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/importlib_metadata/_text.py first seen with mtime 1659553873.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/csv.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/cache/backends/locmem.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/wsgiref/handlers.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/email/errors.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/backends/sqlite3/features.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/hello-django/django_todo/__init__.py first seen with mtime 1659559011.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/__init__.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/_vendor/importlib_resources/abc.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1659554443.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/ast.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/typing.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/version.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/posixpath.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/logging/__init__.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/_distutils/cmd.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/email/_encoded_words.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/zipp.py first seen with mtime 1659553865.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/functions/datetime.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1659554443.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/deconstruct.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/html/entities.py first seen with mtime 1659553841.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/ntpath.py first seen with mtime 1659553839.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/termcolors.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/contrib/sites/shortcuts.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/db/models/fields/mixins.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/core/handlers/exception.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/asyncio/base_futures.py first seen with mtime 1659553840.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /workspace/.pip-modules/lib/python3.8/site-packages/django/utils/ipv6.py first seen with mtime 1659554444.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/site-packages/setuptools/__init__.py first seen with mtime 1659553866.0
[31/Aug/2022 14:38:52] DEBUG [django.utils.autoreload:378] File /home/gitpod/.pyenv/versions/3.8.11/lib/python3.8/concurrent/futures/thread.py first seen with mtime 1659553841.0
